block	moment
opus45_without_skill	08:25
opus45_without_skill	08:42
opus45_without_skill	09:05
opus45_without_skill	09:24
opus45_without_skill	09:32
gpt52_likely_skill_despite_prompt	09:52
gpt52_likely_skill_despite_prompt	10:28
gpt52_likely_skill_despite_prompt	10:40
gpt52_likely_skill_despite_prompt	10:57
gpt52_likely_skill_despite_prompt	11:01
gemini3pro_without_skill	12:05
gemini3pro_without_skill	12:24
gemini3pro_without_skill	12:53
gemini3pro_without_skill	13:07
gemini3pro_without_skill	13:31
gpt52_with_skill	14:04
gpt52_with_skill	14:05
gpt52_with_skill	14:07
gpt52_with_skill	14:14
gpt52_with_skill	14:22
gemini3pro_with_skill	16:20
gemini3pro_with_skill	16:26
gemini3pro_with_skill	16:39
gemini3pro_with_skill	16:56
gemini3pro_with_skill	17:04
opus45_with_skill	17:43
opus45_with_skill	18:15
opus45_with_skill	18:49
opus45_with_skill	19:20
opus45_with_skill	19:32
kimmyk25_without_skill	20:13
kimmyk25_without_skill	20:30
kimmyk25_without_skill	21:06
kimmyk25_without_skill	21:15
kimmyk25_with_skill	21:42
kimmyk25_with_skill	21:58
kimmyk25_with_skill	22:22
kimmyk25_with_skill	22:36
kimmyk25_with_skill	22:39
gemini_iterations	24:20
gemini_iterations	24:26
gemini_iterations	24:43
gemini_iterations	24:47
gemini_iterations	25:04
gemini_iterations	25:11
gemini_iterations	25:14
opus_iterations	25:43
opus_iterations	26:09
opus_iterations	26:33
opus_iterations	26:38
opus_iterations	26:47
opus_iterations	26:54
opus_iterations	27:04
